,permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_a,round_b,round_c,round_d,round_e,round_f,round_g,round_h
2766,/organization/appcrear,appCREAR,http://www.appcrear.com/,|E-Commerce|, E-Commerce ,100.0,operating,Unknown,Unknown,Unknown,Unknown,1.0,2014-01-01,2014-01,2014-Q1,2014.0,2013-12-31,2013-12-31,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3313,/organization/art-of-the-dream,Art of the Dream,http://www.artofthedream.com,|Entertainment|Games|, Games ,100.0,operating,USA,MD,MD - Other,Temple Hills,1.0,2014-01-03,2014-01,2014-Q1,2014.0,2014-05-17,2014-05-17,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4850,/organization/besos,BESOS,http://www.besoskisses.com,Unknown,Unknown,144.0,operating,USA,IN,South Bend,Lowell,1.0,2014-03-01,2014-03,2014-Q1,2014.0,2014-06-15,2014-06-15,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4869,/organization/bestboy-keyboard,BestBoy Keyboard,http://www.bestboy.se,Unknown,Unknown,215.0,Unknown,SWE,Unknown,Malmo,Malmö,1.0,2014-04-28,2014-04,2014-Q2,2014.0,2014-04-28,2014-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5533,/organization/blackbird-holdings,Blackbird Holdings,No Website,|Medical|, Medical ,100.0,operating,USA,ID,Boise,Boise,1.0,2013-01-23,2013-01,2013-Q1,2013.0,2014-01-12,2014-01-12,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8816,/organization/amras-venture,Closed,No Website,|Embedded Hardware and Software|Internet of Things|, Internet of Things ,929.0,operating,Unknown,Unknown,Unknown,Unknown,1.0,2014-06-01,2014-06,2014-Q2,2014.0,2014-06-01,2014-06-01,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9016,/organization/cmilligan-investments,Cmilligan Investments,No Website,|Oil & Gas|, Oil & Gas ,300.0,operating,USA,IN,South Bend,Valparaiso,1.0,2013-06-22,2013-06,2013-Q2,2013.0,2014-07-29,2014-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9424,/organization/community-baptist-mission,Community Baptist Mission,http://sites.google.com/site/cbmoinclakewalesfl/,Unknown,Unknown,500.0,operating,USA,FL,Orlando,Lake Wales,1.0,2005-01-01,2005-01,2005-Q1,2005.0,2014-06-30,2014-06-30,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10237,/organization/create-art-collective,Create! Art Collective,http://www.createartcollective.com/,Unknown,Unknown,827.0,operating,USA,CA,SF Bay Area,Daly City,1.0,2013-09-01,2013-09,2013-Q3,2013.0,2013-10-01,2013-10-01,0.0,0.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11921,/organization/divine-cosmetics,Divine Cosmetics,http://psihoterapieonlineblog.wordpress.com/,|Medical|, Medical ,600.0,operating,ROM,Unknown,Bucharest,Bucharest,1.0,2014-06-08,2014-06,2014-Q2,2014.0,2014-06-05,2014-06-05,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12702,/organization/eat-yeor-kimchi,Eat Your Kimchi,http://www.eatyourkimchi.com,Unknown,Unknown,102.0,operating,KOR,Unknown,Seoul,Seoul,1.0,2012-09-12,2012-09,2012-Q3,2012.0,2012-10-20,2012-10-20,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13242,/organization/elite-motorcycle-parts,Elite Motorcycle Parts,No Website,|Automotive|, Automotive ,500.0,operating,USA,MN,MN - Other,Brainerd,1.0,2013-10-10,2013-10,2013-Q4,2013.0,2013-10-14,2013-10-14,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13772,/organization/enviance,Enviance,http://www.enviance.com/index.aspx,|Software|, Software ,22.0,operating,Unknown,Unknown,Unknown,Unknown,1.0,1999-01-01,1999-01,1999-Q1,1999.0,2013-01-04,2013-01-04,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14745,/organization/fake-company-2-0,fake company 2.0,No Website,Unknown,Unknown,123.0,operating,Unknown,Unknown,Unknown,Unknown,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2013-01-01,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16864,/organization/geodesic-dome-houston,Geodesic dome Houston,No Website,|Farming|, Farming ,100.0,operating,USA,TX,Houston,Houston,1.0,2014-06-01,2014-06,2014-Q2,2014.0,2013-10-20,2013-10-20,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17794,/organization/graveyard-pizza,Graveyard Pizza,http://www.graveyardpizza.com/,|Hospitality|, Hospitality ,500.0,operating,USA,NV,Las Vegas,Las Vegas,1.0,2014-07-28,2014-07,2014-Q3,2014.0,2014-07-28,2014-07-28,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18328,/organization/hair-scynce,Hair Scynce,No Website,|Consulting|, Consulting ,100.0,operating,USA,MO,St. Louis,Saint Louis,1.0,2013-01-21,2013-01,2013-Q1,2013.0,2014-02-18,2014-02-18,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19178,/organization/hollywood-vision-center,Hollywood Vision Center,http://www.hollywoodvision.com/vision-therapy.html,|Medical|, Medical ,700.0,operating,USA,CA,Los Angeles,Los Angeles,1.0,1919-06-12,1919-06,1919-Q2,1919.0,2014-08-06,2014-08-06,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20329,/organization/incont,Incont,http://www.incont.org/,|Medical|, Medical ,400.0,operating,USA,AL,Birmingham,Birmingham,1.0,2007-09-11,2007-09,2007-Q3,2007.0,2014-06-17,2014-06-17,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25028,/organization/m-a-transportation-services,M.A. Transportation Services,No Website,|Transportation|, Transportation ,100.0,operating,USA,NY,New York City,New York,1.0,2014-05-15,2014-05,2014-Q2,2014.0,2014-05-15,2014-05-15,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25265,/organization/makercloud,MakerCloud,http://makercloud.io/#,|Marketplaces|Manufacturing|, Marketplaces ,60.0,operating,DEU,Unknown,Berlin,Berlin,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2013-06-01,2013-06-01,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25761,/organization/md-lingo,MD Lingo,http://www.mdlingo.com,Unknown,Unknown,428.0,operating,Unknown,Unknown,Unknown,Unknown,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2014-05-21,2014-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26507,/organization/miceit-co,MICEit.co,http://www.miceit.co,Unknown,Unknown,14.0,operating,JOR,Unknown,Amman,Amman,1.0,2014-08-01,2014-08,2014-Q3,2014.0,2014-08-01,2014-08-01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26522,/organization/mico-toy-co,Mico Toy & Co,http://www.micokidsclothingco.com/,|Entertainment|Games|, Entertainment ,800.0,operating,USA,NC,Greensboro,High Point,1.0,2010-04-01,2010-04,2010-Q2,2010.0,2014-06-16,2014-06-16,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27933,/organization/my-own-crown,My Own Crown,http://www.myowncrown.com,|E-Commerce|, E-Commerce ,800.0,operating,USA,GA,Atlanta,Atlanta,1.0,2010-07-13,2010-07,2010-Q3,2010.0,2013-07-28,2013-07-28,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29236,/organization/nieves-business-support-agency,Nieves Business Support Agency,http://www.nievesbusiness.com,|Consulting|, Consulting ,900.0,operating,USA,FL,Tampa,Tampa,1.0,2014-09-16,2014-09,2014-Q3,2014.0,2014-09-16,2014-09-16,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35909,/organization/richcreek-international,Richcreek International,No Website,|Consulting|, Consulting ,500.0,operating,USA,IN,Fort Wayne,Marion,1.0,2014-08-30,2014-08,2014-Q3,2014.0,2014-08-30,2014-08-30,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36844,/organization/saunders-solutions,Saunders Solutions,http://www.saunders-solutions.com/,|Consulting|, Consulting ,100.0,operating,GBR,Unknown,Cardiff,Cardiff,1.0,2013-01-11,2013-01,2013-Q1,2013.0,2013-11-06,2013-11-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37783,/organization/sevenlunches,SevenLunches,http://sevenlunches.com,|Twitter Applications|Social Media|Email|SMS|Mobile|Advertising|Sales and Marketing|Restaurants|Messaging|, Twitter Applications ,291.0,operating,USA,MA,MA - Other,North Adams,1.0,2009-06-01,2009-06,2009-Q2,2009.0,2010-08-06,2010-08-06,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38056,/organization/shop-9-seven,Shop 9 Seven,http://www.instagram.com/shop9seven,|Fashion|, Fashion ,80.0,operating,USA,NY,New York City,Brooklyn,1.0,2014-01-01,2014-01,2014-Q1,2014.0,2014-01-01,2014-01-01,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38443,/organization/simple-beat,Simple Beat,No Website,|Fashion|, Fashion ,300.0,operating,USA,FL,Ft. Lauderdale,Coral Springs,1.0,2012-10-12,2012-10,2012-Q4,2012.0,2013-09-29,2013-09-29,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38669,/organization/sjh-direct-marketing-concepts,Sjh direct marketing concepts,http://www.sjhdirectmarkting.simplesite.com,|Games|Entertainment|, Entertainment ,317.0,operating,USA,TX,Dallas,Mesquite,1.0,2014-09-01,2014-09,2014-Q3,2014.0,2014-09-04,2014-09-04,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39162,/organization/snapstream,Snapstream,http://www.kickstarter.com/projects/streamer/streamer-data-around-you-how-do-you-stream,|Software|, Software ,50.0,operating,USA,GA,Atlanta,Marietta,1.0,2013-11-11,2013-11,2013-Q4,2013.0,2013-11-09,2013-11-09,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42244,/organization/teenssuccess,TeensSuccess,http://www.TeensSuccess.com,|Human Resources|Journalism|Consulting|Entrepreneur|Teenagers|Business Services|Education|, Teenagers ,890.0,operating,Unknown,Unknown,Unknown,Unknown,1.0,2014-01-01,2014-01,2014-Q1,2014.0,2014-01-01,2014-01-01,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42639,/organization/the-caddy-company,The Caddy Company,http://www.thecaddyco.com,|Sports|, Sports ,400.0,operating,USA,AZ,Phoenix,Scottsdale,1.0,2013-11-18,2013-11,2013-Q4,2013.0,2014-02-26,2014-02-26,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42792,/organization/the-manly-man-can,The Manly Man Can,http://themanlymancanonline.com,|Fashion|, Fashion ,30.0,operating,USA,MI,Detroit,Pinckney,1.0,2014-10-26,2014-10,2014-Q4,2014.0,2014-10-27,2014-10-27,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42906,/organization/the-theater-place,The Theater Place,http://www.thetheaterplace.com/,|Entertainment|Games|, Games ,500.0,operating,USA,TX,Austin,Austin,1.0,2007-09-01,2007-09,2007-Q3,2007.0,2013-09-28,2013-09-28,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44067,/organization/trempstar-tactical,Trempstar Tactical,http://www.tstactical.com,|Transportation|, Transportation ,100.0,operating,USA,OH,Cincinnati,Batavia,1.0,2012-04-19,2012-04,2012-Q2,2012.0,2014-07-14,2014-07-14,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44589,/organization/tv-volume-wizard-app,TV Volume Wizard App,https://sellanapp.com/idea/tv-wizard/pitch,|Entertainment|Software|, Software ,540.0,operating,USA,CA,Anaheim,Aliso Viejo,1.0,2014-08-01,2014-08,2014-Q3,2014.0,2014-09-06,2014-09-06,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
